X,Y,Z
789.6865833906086,608.4973981648955,-777.9874028063059
-513.1269771864563,592.4596603597299,671.8372795367934
-511.8557680532176,531.3266700345125,1051.3087207822855
-484.49477953250516,658.418225556595,1625.0400208849605
-481.9667437975402,559.8031155211534,849.2782018689855
-419.13412536063015,697.3380405394546,1390.4631696021593
-539.0021234767257,620.3332737575406,651.5523591654486
-500.8076162546672,735.3881665098586,1125.4498411651805
-541.488950655757,693.5735275482302,1100.716674207109
-478.92622667266187,475.2378822401813,399.099046288294
-466.2447957385248,515.8607172549401,723.7610832629412
-538.1020722277867,625.5460478504808,838.9317495386872
-485.7661469559321,643.0822202298075,1012.5488806266261
-503.2707549147592,583.5456973277805,928.0250230288987
-483.8058875019419,554.7831157553755,661.5070074118856
-485.67101202212507,649.6554931976352,1215.5437674602836
-538.38351081151,534.9430666526717,698.1073093365101
-480.52091094871344,477.8832818114063,956.4912646888192
-533.2950103872749,704.0072178968456,1101.0878385183432
-487.21076625672777,572.2328362620204,589.4362916588847
-506.99749254052745,634.5433651497319,970.4334576547363
-488.6425234264293,930.2713426409689,1452.1887323773892
-543.3188203231484,701.904152089502,924.8922876866632
-541.0143344636631,702.3747900607997,1095.325767853994
-442.58390577094315,502.8003729908693,1312.6532646887563
-486.62232593361114,577.4874117920164,924.7486580587844
-483.80100202529115,558.3539983743353,764.0221558479791
-486.6620510544544,585.9790155611829,1137.54
-484.1061825792722,653.4710727129342,1156.2932814824935
-535.3961320598839,636.6302982439373,1043.148776900124
-486.64236187642405,585.9838586706521,964.518
-480.6520068626951,564.1659520016558,628.3183103055122
-499.94557756095446,573.3452249172643,847.9610003665653
-519.8047993854752,587.9410121290342,824.71911583222
-525.6282254905086,705.835770611741,1242.304078176756
-493.3248191916523,458.87085385767296,855.8498955566918
-530.3789678676385,626.3790815326531,628.1433447611313
-535.3102158736806,723.6883281824703,824.6449050044813
-501.8535925564888,746.4877337246674,1264.8378073203712
-482.6419181404433,574.5605090085869,831.7381975908448
-486.65066078611426,585.9871926781364,1044.451
-537.7811157350611,603.2248090438931,453.78898251215605
-477.5158007166656,725.8257007418202,1083.0250470380445
-472.62334225903663,544.5369435748298,481.53710903590377
-494.3649656428074,603.7820827985224,1345.0765688649556
-463.1497457721729,488.1965421571631,711.0162539255412
-459.08746427152164,629.1136956100457,1141.092523029142
-523.572532968265,588.391832598931,357.3855762063706
-486.6466756018731,585.9728274173826,752.257
-493.87712674722934,602.651657149243,1211.2188773566477
-594.6157543723248,619.4514886632169,696.0231205579404
-503.19632361229606,858.5837618757985,1792.1235200004976
-522.4285744165177,633.0380959717534,603.4115214635724
-486.6520548779695,585.986782407459,772.6212
-530.9828091043319,586.5007311761207,632.6939339211555
-467.02436416210276,586.6111706298037,1056.6503160325826
-486.66997778991026,585.9529171771362,871.7458
-525.7219610086013,692.2166742964778,1149.4755885255108
-491.2367018974294,640.0843664586132,687.0424653220506
-520.3227769474529,615.1711748344683,645.6954253173343
-477.10093947937,594.7945552840717,1134.2807807785507
-488.2738559487623,586.8364189769763,994.8270723838215
-486.6531313306723,585.9861468230376,494.8888
-486.66576098506357,585.9844181233467,689.18046
-486.8868943838611,560.9227185044163,896.0999215863757
-604.1769910550081,598.6336025883356,202.85192454552578
-505.628908024707,631.2351733456053,853.3871879364357
-529.747570769825,637.6650616800462,788.5335932039513
-487.9871056619263,548.4826103038511,1160.0542632309127
-538.488198500502,675.6425476704421,788.2158641635885
-487.7117140844821,556.3971335824538,738.0091155952128
-563.3707520283333,683.3141210452789,1243.1925370562553
-600.9949265682928,621.4476247816108,781.5658077697357
983.400278889716,611.8175782143353,-788.6161536478357
-521.0398902330646,676.8531093900742,926.0887836015017
-445.84894414169526,605.5484019182095,1221.235752728239
